Player,Team,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Event,Region
Meteor,T1,"Viper, Vyse, Killjoy",453,1.04,229.0,1.09,71.0,152.8,0.81,0.23,0.17,0.11,33.0,16%,7/45,30,366,337,103,75,50,Masters Bangkok 2025,Pacific
Less,VIT,"Viper, Cypher, Brimstone",225,1.03,197.1,1.03,68.0,128.8,0.72,0.31,0.06,0.12,29.0,20%,6/30,23,163,159,69,14,26,Masters Bangkok 2025,EMEA
jawgemo,G2,"Yoru, Raze",360,1.03,218.5,1.06,71.0,142.9,0.77,0.29,0.13,0.18,23.0,38%,9/24,29,277,262,104,47,64,Masters Bangkok 2025,Americas
Sylvan,T1,"Omen, Brimstone, Astra",408,1.02,186.1,0.97,77.0,114.6,0.64,0.64,0.08,0.04,27.0,17%,7/42,25,260,267,262,31,18,Masters Bangkok 2025,Pacific
ZmjjKK,EDG,"Jett, Raze, Yoru",313,1.01,236.2,1.04,70.0,151.0,0.83,0.19,0.21,0.22,23.0,4%,1/27,33,260,249,59,66,70,Masters Bangkok 2025,CN
stax,T1,"Fade, Kayo, Sova",453,1.01,173.6,1.01,74.0,120.3,0.63,0.34,0.04,0.04,31.0,17%,10/59,22,284,282,154,20,20,Masters Bangkok 2025,Pacific
Smoggy,EDG,"Omen, Brimstone, Astra",313,1.01,191.1,0.93,74.0,124.6,0.65,0.49,0.1,0.06,30.0,20%,9/45,24,203,219,152,30,20,Masters Bangkok 2025,CN
Flashback,DRX,"Cypher, Vyse",149,1.0,180.4,1.0,71.0,126.4,0.68,0.17,0.09,0.07,26.0,8%,2/25,26,101,101,26,13,11,Masters Bangkok 2025,Pacific
kamo,TL,"Yoru, Jett, Raze",155,0.99,215.0,1.02,66.0,144.5,0.75,0.15,0.18,0.17,27.0,13%,2/15,34,117,115,23,28,27,Masters Bangkok 2025,EMEA
JonahP,G2,"Breach, Vyse, Skye",360,0.98,187.6,0.93,78.0,119.3,0.65,0.46,0.08,0.07,24.0,9%,4/44,21,235,254,164,30,26,Masters Bangkok 2025,Americas
Kicks,VIT,"Skye, Omen, Breach",225,0.94,174.3,0.93,73.0,115.0,0.63,0.36,0.05,0.11,27.0,22%,6/27,20,142,153,82,11,25,Masters Bangkok 2025,EMEA
nobody,EDG,"Tejo, Fade",313,0.94,180.1,0.9,71.0,123.9,0.62,0.23,0.09,0.09,30.0,4%,1/24,25,195,216,71,27,27,Masters Bangkok 2025,CN
bang,SEN,"Omen, Astra, Viper",103,0.93,186.0,0.91,68.0,113.8,0.65,0.32,0.11,0.11,31.0,25%,2/8,22,67,74,33,11,11,Masters Bangkok 2025,Americas
Kai,TE,"Vyse, Jett",74,0.92,200.8,0.87,62.0,128.6,0.73,0.12,0.14,0.12,31.0,8%,1/13,20,54,62,9,10,9,Masters Bangkok 2025,CN
zekken,SEN,"Raze, Jett",103,0.92,196.6,0.99,69.0,135.1,0.7,0.11,0.16,0.23,29.0,14%,1/7,25,72,73,11,16,24,Masters Bangkok 2025,Americas
MaKo,DRX,"Omen, Brimstone, Astra",149,0.92,173.3,0.83,74.0,118.4,0.57,0.48,0.05,0.11,24.0,13%,2/15,25,85,103,72,8,16,Masters Bangkok 2025,Pacific
HYUNMIN,DRX,Yoru,149,0.9,205.9,0.89,71.0,134.0,0.72,0.22,0.17,0.15,32.0,,0/7,23,108,121,33,25,23,Masters Bangkok 2025,Pacific
kamyk,TL,"Astra, Sova, Tejo",155,0.86,180.3,0.85,74.0,118.3,0.61,0.25,0.06,0.06,31.0,10%,2/21,23,95,112,38,9,9,Masters Bangkok 2025,EMEA
Biank,TE,"Fade, Sova",74,0.85,166.8,0.72,59.0,115.6,0.55,0.24,0.07,0.08,19.0,22%,2/9,14,41,57,18,5,6,Masters Bangkok 2025,CN
S1Mon,EDG,"Breach, Kayo, Fade",313,0.83,151.5,0.75,71.0,100.7,0.54,0.42,0.03,0.06,30.0,17%,6/35,19,169,225,133,9,18,Masters Bangkok 2025,CN
johnqt,SEN,"Viper, Tejo",103,0.82,159.8,0.79,75.0,105.3,0.59,0.25,0.04,0.06,19.0,,0/13,18,61,77,26,4,6,Masters Bangkok 2025,Americas
Zellsis,SEN,"Vyse, Kayo, Brimstone",103,0.77,159.8,0.63,70.0,109.3,0.5,0.39,0.05,0.09,19.0,,0/20,17,51,81,40,5,9,Masters Bangkok 2025,Americas
Sayf,VIT,"Tejo, Vyse, Jett",225,0.75,155.9,0.74,69.0,100.1,0.53,0.25,0.07,0.09,22.0,9%,2/22,18,119,160,56,15,20,Masters Bangkok 2025,EMEA
LuoK1ng,TE,"Omen, Astra",74,0.74,155.8,0.67,66.0,105.2,0.54,0.31,0.05,0.07,34.0,,0/16,13,40,60,23,4,5,Masters Bangkok 2025,CN
paTiTek,TL,"Fade, Vyse, Breach",155,0.73,144.0,0.65,70.0,97.8,0.47,0.43,0.06,0.08,25.0,7%,1/15,18,73,112,67,10,13,Masters Bangkok 2025,EMEA
heybay,TE,"Viper, Kayo, Breach",74,0.69,134.3,0.54,59.0,89.7,0.42,0.3,0.07,0.09,26.0,,0/8,12,31,57,22,5,7,Masters Bangkok 2025,CN
